D;E;I;Cat
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por sus esfuerzos;Totalmente en desacuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por sus esfuerzos;En desacuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por sus esfuerzos;Ni en desacuerdo ni de acuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por sus esfuerzos;De acuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por sus esfuerzos;Totalmente de acuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por su inteligencia y habilidades;Totalmente en desacuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por su inteligencia y habilidades;En desacuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por su inteligencia y habilidades;Ni en desacuerdo ni de acuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por su inteligencia y habilidades;De acuerdo
Percepción de meritocracia;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?; En Chile las personas son recompensadas por su inteligencia y habilidades;Totalmente de acuerdo
Nivel educacional;¿Cuál es su nivel educacional? Indique el tipo de estudio actual (si estudia actualmente) o el último tipo aprobado (si no estudia actualmente).;;Educación básica o menos
Nivel educacional;¿Cuál es su nivel educacional? Indique el tipo de estudio actual (si estudia actualmente) o el último tipo aprobado (si no estudia actualmente).;;Educación media
Nivel educacional;¿Cuál es su nivel educacional? Indique el tipo de estudio actual (si estudia actualmente) o el último tipo aprobado (si no estudia actualmente).;;Educación técnica profesional
Nivel educacional;¿Cuál es su nivel educacional? Indique el tipo de estudio actual (si estudia actualmente) o el último tipo aprobado (si no estudia actualmente).;;Educación superior o postgrado
